yarn outdated v1.22.22
info Color legend : 
 "<red>"    : Major Update backward-incompatible updates 
 "<yellow>" : Minor Update backward-compatible features 
react-server-dom-webpack         0.0.0-experimental-c8b778b7f-20220825 0.0.0-experimental-c8b778b7f-20220825 0.0.1        gatsby                             dependencies           https://github.com/facebook/react#readme                                  
react-test-renderer              16.14.0                               16.14.0                               18.2.0       gatsby-source-wordpress            devDependencies        https://reactjs.org/                                                      
redux                            4.2.1                                 4.2.1                                 5.0.1        gatsby-cli                         dependencies           http://redux.js.org                                                       
redux                            4.2.1                                 4.2.1                                 5.0.1        gatsby                             dependencies           http://redux.js.org                                                       
redux-thunk                      2.4.2                                 2.4.2                                 3.1.0        gatsby                             dependencies           https://github.com/reduxjs/redux-thunk                                    
rehype-infer-description-meta    1.1.0                                 1.1.0                                 2.0.0        gatsby-plugin-mdx                  dependencies           https://github.com/rehypejs/rehype-infer-description-meta#readme          
rehype-parse                     7.0.1                                 7.0.1                                 9.0.0        gatsby-remark-katex                dependencies           https://github.com/rehypejs/rehype                                        
remark                           13.0.0                                13.0.0                                15.0.1       gatsby-remark-copy-linked-files    devDependencies        https://remark.js.org                                                     
remark                           13.0.0                                13.0.0                                15.0.1       gatsby-remark-graphviz             devDependencies        https://remark.js.org                                                     
remark                           13.0.0                                13.0.0                                15.0.1       gatsby-remark-katex                devDependencies        https://remark.js.org                                                     
remark                           13.0.0                                13.0.0                                15.0.1       gatsby-remark-prismjs              devDependencies        https://remark.js.org                                                     
remark                           13.0.0                                13.0.0                                15.0.1       gatsby-remark-responsive-iframe    devDependencies        https://remark.js.org                                                     
remark                           13.0.0                                13.0.0                                15.0.1       gatsby-transformer-remark          dependencies           https://remark.js.org                                                     
remark-footnotes                 3.0.0                                 3.0.0                                 4.0.1        gatsby-transformer-remark          dependencies           https://github.com/remarkjs/remark-footnotes#readme                       
remark-gfm                       1.0.0                                 1.0.0                                 4.0.0        gatsby-transformer-remark          dependencies           https://github.com/remarkjs/remark-gfm#readme                             
remark-math                      4.0.0                                 4.0.0                                 6.0.0        gatsby-remark-katex                dependencies           https://github.com/remarkjs/remark-math/tree/main#readme                  
remark-mdx                       1.6.22                                1.6.22                                3.0.1        gatsby-remark-copy-linked-files    devDependencies        https://mdxjs.com                                                         
remark-mdx                       1.6.22                                1.6.22                                3.0.1        gatsby-remark-responsive-iframe    devDependencies        https://mdxjs.com                                                         
remark-parse                     9.0.0                                 9.0.0                                 11.0.0       gatsby-transformer-remark          dependencies           https://remark.js.org                                                     
remark-retext                    4.0.0                                 4.0.0                                 6.0.0        gatsby-transformer-remark          dependencies           https://github.com/remarkjs/remark-retext#readme                          
remark-stringify                 9.0.1                                 9.0.1                                 11.0.0       gatsby-transformer-remark          dependencies           https://remark.js.org                                                     
remark-unwrap-images             3.0.1                                 3.0.1                                 4.0.0        gatsby-plugin-mdx                  dependencies           https://github.com/remarkjs/remark-unwrap-images#readme                   
retext                           7.0.1                                 7.0.1                                 9.0.0        gatsby-remark-smartypants          dependencies           https://github.com/retextjs/retext                                        
retext-english                   3.0.4                                 3.0.4                                 5.0.0        gatsby-transformer-remark          dependencies           https://github.com/retextjs/retext                                        
retext-smartypants               4.0.0                                 4.0.0                                 6.1.0        gatsby-remark-smartypants          dependencies           https://github.com/retextjs/retext-smartypants#readme                     
rewire                           6.0.0                                 6.0.0                                 7.0.0        gatsby-plugin-offline              devDependencies        https://github.com/jhnns/rewire                                           
rollup                           2.79.1                                2.79.1                                4.13.0       gatsby-cli                         devDependencies        https://rollupjs.org/                                                     
sass-loader                      13.3.3                                13.3.3                                14.1.1       gatsby-plugin-sass                 dependencies           https://github.com/webpack-contrib/sass-loader                            
sharp                            0.32.6                                0.32.6                                0.33.2       gatsby-plugin-manifest             dependencies           https://sharp.pixelplumbing.com                                           
sharp                            0.32.6                                0.32.6                                0.33.2       gatsby-plugin-sharp                dependencies           https://sharp.pixelplumbing.com                                           
sharp                            0.32.6                                0.32.6                                0.33.2       gatsby-remark-images-contentful    dependencies           https://sharp.pixelplumbing.com                                           
sharp                            0.32.6                                0.32.6                                0.33.2       gatsby-sharp                       dependencies           https://sharp.pixelplumbing.com                                           
sharp                            0.32.6                                0.32.6                                0.33.2       gatsby-source-shopify              dependencies           https://sharp.pixelplumbing.com                                           
sharp                            0.32.6                                0.32.6                                0.33.2       gatsby-source-wordpress            dependencies           https://sharp.pixelplumbing.com                                           
sharp                            0.32.6                                0.32.6                                0.33.2       gatsby-transformer-sharp           dependencies           https://sharp.pixelplumbing.com                                           
stack-trace                      0.0.10                                0.0.10                                1.0.0-pre2   gatsby-cli                         dependencies           https://github.com/felixge/node-stack-trace                               
stack-trace                      0.0.10                                0.0.10                                1.0.0-pre2   gatsby                             dependencies           https://github.com/felixge/node-stack-trace                               
stylus-loader                    3.0.2                                 3.0.2                                 8.1.0        gatsby-plugin-stylus               dependencies           https://github.com/webpack-contrib/stylus-loader                          
tiny-async-pool                  1.3.0                                 1.3.0                                 2.1.0        gatsby-source-drupal               dependencies           https://github.com/rxaviers/async-pool#readme                             
typescript                       5.1.6                                 5.4.3                                 5.4.3                                           devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-adapter-netlify             devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-cli                         devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-core-utils                  devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-page-utils                  devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-plugin-image                devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-plugin-mdx                  devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-plugin-utils                devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-script                      devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-sharp                       devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-source-shopify              devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-telemetry                   devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby-worker                      devDependencies        https://www.typescriptlang.org/                                           
typescript                       5.1.6                                 5.4.3                                 5.4.3        gatsby                             devDependencies        https://www.typescriptlang.org/                                           
unified                          9.2.2                                 9.2.2                                 11.0.4                                          devDependencies        https://unifiedjs.com                                                     
unified                          10.1.2                                10.1.2                                11.0.4       gatsby-plugin-mdx                  dependencies           https://unifiedjs.com                                                     
unified                          9.2.2                                 9.2.2                                 11.0.4       gatsby-remark-katex                dependencies           https://unifiedjs.com                                                     
unified                          9.2.2                                 9.2.2                                 11.0.4       gatsby-transformer-remark          dependencies           https://unifiedjs.com                                                     
unist-util-find                  1.0.4                                 1.0.4                                 3.0.0        gatsby-remark-custom-blocks        devDependencies        https://github.com/syntax-tree/unist-util-find#readme                     
unist-util-find                  1.0.4                                 1.0.4                                 3.0.0        gatsby-remark-graphviz             devDependencies        https://github.com/syntax-tree/unist-util-find#readme                     
unist-util-find                  1.0.4                                 1.0.4                                 3.0.0        gatsby-remark-responsive-iframe    devDependencies        https://github.com/syntax-tree/unist-util-find#readme                     
unist-util-map                   2.0.1                                 2.0.1                                 4.0.0        gatsby-remark-code-repls           dependencies           https://github.com/syntax-tree/unist-util-map#readme                      
unist-util-map                   2.0.1                                 2.0.1                                 4.0.0        gatsby-remark-embed-snippet        dependencies           https://github.com/syntax-tree/unist-util-map#readme                      
unist-util-remove-position       3.0.0                                 3.0.0                                 5.0.0        gatsby-transformer-remark          dependencies           https://github.com/syntax-tree/unist-util-remove-position#readme          
